Name,Address,City,State,Undergraduate Enrollment,Road Distance (mi),Travel Time One Way (hr)
University of Hartford,200 Bloomfield Ave,West Hartford,CT,5991,53.6864544,1.016666667
Northwestern Connecticut Community College,Park Pl E,Winsted,CT,2169,62.1371,1.35
Stone Academy-East Hartford,745 Burnside Avenue,East Hartford,CT,418,52.6922608,0.983333333
University of Connecticut,352 Mansfield Road,Storrs,CT,18920,73.321778,1.333333333
Marinello Schools of Beauty-East Hartford,1000 Main St,East Hartford,CT,235,52.816535,0.933333333
University of Saint Joseph,1678 Asylum Avenue,West Hartford,CT,1224,55.5505674,1.05
Rensselaer Hartford Graduate Center Inc,275 Windsor St,Hartford,CT,0,51.8844785,0.95
Manchester Community College,Great Path,Manchester,CT,10823,56.2340755,1.016666667
Capital Community College,950 Main Street,Hartford,CT,6552,52.195164,0.933333333
Hartford Seminary,77 Sherman Street,Hartford,CT,0,54.2456883,0.983333333
Lincoln College of New England-Hartford,85 Sigourney Street,Hartford,CT,44,53.0029463,0.95
Lincoln Technical Institute-Hartford,85 Sigourney Street,Hartford,CT,844,53.0029463,0.95
Goodwin College,One Riverside Drive,East Hartford,CT,5151,54.3699625,0.983333333
Bard College at Simon's Rock,84 Alford Rd,Great Barrington,MA,377,69.593552,1.333333333
Trinity College,300 Summit St,Hartford,CT,2455,53.8107286,1
Albert I Prince Technical High School,401 Flatbush Avenue,Hartford,CT,63,55.0534706,1
Spa Tech Institute-Westboro,227 Turnpike Rd.  - Suite 1,Westboro,MA,136,64.622584,1.35
Fox Institute of Business-West Hartford,99 South Street,West Hartford,CT,506,56.1719384,1.033333333
Sanford-Brown College-Farmington,270 Farmington Av," Suite 245""",Farmington,279,61.3293177,1.083333333
International Institute of Cosmetology,632 Silas Deane Hwy,Wethersfield,CT,192,55.7991158,0.983333333
Southern Vermont College,982 Mansion Drive,Bennington,VT,599,67.108068,1.666666667
Eastern Connecticut State University,83 Windham St,Willimantic,CT,5932,77.671375,1.383333333
Windham Technical High School,210 Birch St,Willimantic,CT,16,76.428633,1.4
Windham Memorial Hospital-Radiologic Technology Program,112 Mansfield Avenue,Willimantic,CT,20,76.428633,1.4
Assabet Valley Regional Technical School,215 Fitchburg St,Marlborough,MA,45,72.079036,1.416666667
Blackstone Valley Vocational Regional School District,65 Pleasant St,Upton,MA,31,64.622584,1.383333333
Connecticut Center for Massage Therapy-Newington,75 Kitts Lane,Newington,CT,457,58.408874,1.05
Central Connecticut State University,1615 Stanley St,New Britain,CT,11498,61.4535919,1.116666667
Charter Oak State College,55 Paul Manafort Drive,New Britain,CT,2592,61.4535919,1.1
Tunxis Community College,271 Scott Swamp Road,Farmington,CT,6870,65.243955,1.183333333
Quinebaug Valley Community College,742 Upper Maple St,Danielson,CT,2971,78.292746,1.533333333
Bennington College,One College Drive,Bennington,VT,707,69.593552,1.616666667
Lincoln Technical Institute-New Britain,200 John Downey Dr,New Britain,CT,853,62.1371,1.15
Bristol Technical Education Center,431 Minor Street,Bristol,CT,52,73.943149,1.4
Holy Apostles College and Seminary,33 Prospect Hill Road,Cromwell,CT,83,65.865326,1.166666667
Lincoln Technical Institute-Cromwell,106 Sebethe Dr,Cromwell,CT,0,64.622584,1.133333333
Lincoln College of New England-Southington,2279 Mount Vernon Road,Southington,CT,1428,72.079036,1.283333333
Framingham State University,100 State Street,Framingham,MA,5372,73.321778,1.45
Empire Beauty School-Framingham,624 Worcester Rd,Framingham,MA,162,74.56452,1.45
Branford Hall Career Institute-Southington Campus,35 N Main St,Southington,CT,950,69.593552,1.233333333
Wesleyan University,237 High St,Middletown,CT,3154,68.35081,1.216666667
Daniel Webster College,20 University Dr,Nashua,NH,729,73.943149,1.7
Nashua Community College,505 Amherst St,Nashua,NH,3398,76.428633,1.75
Middlesex Community College,100 Training Hill Rd,Middletown,CT,4490,70.836294,1.25
St Joseph School of Nursing,5 Woodward Ave,Nashua,NH,169,88.234682,1.683333333
Ace Cosmetology and Barber Training Center,534 Wolcott Rd Ste C,Wolcott,CT,11,75.807262,1.416666667
Rivier University,420 South Main St,Nashua,NH,1918,88.234682,1.65
Vinal Technical High School,60 Daniels St,Middletown,CT,40,71.457665,1.283333333
Bryant University,1150 Douglas Pike,Smithfield,RI,3286,81.399601,1.633333333
Tri County Regional Vocational Technical High School,147 Pond St,Franklin,MA,68,81.399601,1.533333333
Thomas More College of Liberal Arts,6 Manchester St,Merrimack,NH,97,93.827021,1.75
Marinello Schools of Beauty-Meriden,1231 E Main St,Meriden,CT,821,70.836294,1.216666667
Belle Academy of Cosmetology,27A South Commons Road,Waterbury,CT,2,85.127827,1.5
Greater Lowell Technical School,250 Pawtucket Blvd,Tyngsboro,MA,83,80.156859,1.6
New Hampshire Institute for Therapeutic Arts,153 Lowell Rd,Hudson,NH,42,87.613311,1.65
Continental Academie of Hair Design-Hudson,102 Derry St,Hudson,NH,105,90.098795,1.75
Connecticut Institute of Hair Design,1681 Meriden Rd,Wolcott,CT,71,75.807262,1.35
Dean College,99 Main Street,Franklin,MA,1626,82.020972,1.566666667
Rensselaer BOCES-Practical Nursing Program,35 Colleen Road,Troy,NY,133,103.768957,1.766666667
Hudson Valley Community College,80 Vandenburgh Ave,Troy,NY,18771,101.283473,1.733333333
Lincoln Technical Institute-Lincoln,622 George Washington Hwy,Lincoln,RI,945,81.399601,1.6
Regis College,235 Wellesley St,Weston,MA,1418,82.020972,1.616666667
W F Kaynor Technical High School,43 Tompkins St,Waterbury,CT,39,83.263714,1.45
Norwich Technical High School,7 Mahan Dr,Norwich,CT,36,90.098795,1.533333333
Samaritan Hospital School of Nursing,2215 Burdett Ave,Troy,NY,146,105.63307,1.783333333
Stone Academy-Waterbury,101 Pierpont Road,Waterbury,CT,343,77.671375,1.333333333
Rensselaer Polytechnic Institute,110 8th St,Troy,NY,5474,105.63307,1.783333333
Wellesley College,106 Central St,Wellesley,MA,2642,81.399601,1.616666667
University of Connecticut-Tri-Campus,99 East Main Street,Waterbury,CT,3195,81.399601,1.4
The Sage Colleges,65 1st Street,Troy,NY,1964,105.011699,1.75
Industrial Management Training Institute,233 Mill St,Waterbury,CT,188,80.77823,1.4
National Aviation Academy of New England,150 Hanscom Drive,Bedford,MA,424,79.535488,1.566666667
Academy Di Capelli-School of Cosmetology,950 Yale Ave Unit 20,Wallingford,CT,81,73.943149,1.266666667
Lincoln Technical Institute-Lowell,211 Plain St,Lowell,MA,608,78.292746,1.483333333
University of Massachusetts-Lowell,1 University Ave,Lowell,MA,14939,80.156859,1.566666667
Naugatuck Valley Community College,750 Chase Parkway,Waterbury,CT,9931,83.263714,1.45
Blessed John XXIII National Seminary,558 South Ave,Weston,MA,0,83.263714,1.566666667
SUNY-System Office,353 Broadway,Albany,NY,0,100.662102,1.65
Three Rivers Community College,574 New London Turnpike,Norwich,CT,6661,91.341537,1.566666667
Empire Beauty School-Lowell,231 Central St,Lowell,MA,198,79.535488,1.483333333
Lowell Academy Hairstyling Institute,136 Central St,Lowell,MA,174,79.535488,1.483333333
Babson College,231 Forest Street,Wellesley,MA,2100,88.234682,1.683333333
Middlesex Community College,Springs Rd,Bedford,MA,13254,83.885085,1.583333333
Memorial School of Nursing,600 Northern Blvd,Albany,NY,118,100.662102,1.65
Massachusetts Bay Community College,50 Oakland St,Wellesley Hills,MA,8279,83.263714,1.633333333
Columbia-Greene Community College,4400 Route 23,Hudson,NY,2813,95.691134,1.75
Franklin W Olin College of Engineering,Olin Way,Needham,MA,363,84.506456,1.7
New England College,98 Bridge St,Henniker,NH,1222,78.914117,1.716666667
Brandeis University,415 South St,Waltham,MA,3907,84.506456,1.6
The Salter School-Tewksbury Campus,515 Woburn Street,Tewksbury,MA,345,78.914117,1.466666667
Post University,800 Country Club Rd,Waterbury,CT,13282,83.885085,1.466666667
Albany Medical College,47 New Scotland Ave,Albany,NY,0,101.904844,1.716666667
Lasell College,1844 Commonwealth Avenue,Newton,MA,1710,84.506456,1.6
Albany Law School,80 New Scotland Avenue,Albany,NY,0,101.904844,1.716666667
Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue,Albany,NY,1076,101.904844,1.716666667
Wadsworth Center-NY State Dept of Health,120 New Scotland Ave.,Albany,NY,0,101.904844,1.733333333
Siena College,515 Loudon Rd,Loudonville,NY,3376,103.768957,1.75
St Joseph School of Nursing,200 High Service Avenue,North Providence,RI,126,88.856053,1.733333333
Saint Anselm College,100 Saint Anselm Drive,Manchester,NH,2010,90.098795,2
Rhode Island College,600 Mount Pleasant Ave,Providence,RI,8618,89.477424,1.8
The College of Saint Rose,432 Western Ave,Albany,NY,2972,101.904844,1.716666667
Orlo School of Hair Design and Cosmetology,232 North Allen St,Albany,NY,175,102.526215,1.7
Laird Institute of Spa Therapy,981 Second Street,Manchester,NH,98,87.613311,1.933333333
Bentley University,175 Forest St,Waltham,MA,4265,85.127827,1.7
Austin's School of Spa Technology,855 Central Avenue,Albany,NY,589,102.526215,1.7
Mildred Elley School-Albany Campus,855 Central Ave,Albany,NY,1459,102.526215,1.683333333
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,638 Columbia St Extension,Latham,NY,47,108.739925,1.8
Mount Washington College,3 Sundial Ave,Manchester,NH,3615,106.254441,1.933333333
Maria College of Albany,700 New Scotland Ave,Albany,NY,1096,103.147586,1.766666667
Providence College,1 Cunningham Square,Providence,RI,4487,88.234682,1.733333333
New England Tractor Trailer Training School of Rhode Island,600 Moshassuck Valley Industrial Hwy,Pawtucket,RI,653,86.99194,1.733333333
Shawsheen Valley Regional Vocational Technical School,100 Cook St,Billerica,MA,48,86.370569,1.666666667
University of New Hampshire at Manchester,400 Commercial Street,Manchester,NH,1170,106.254441,1.916666667
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,79-6 South River Road,Bedford,NH,220,106.254441,1.95
Massachusetts School of Professional Psychology,One Wells Avenue,Newton,MA,0,87.613311,1.666666667
New England School of Acupuncture,150 California St.,Newton,MA,0,87.613311,1.633333333
New School of Radio and Television,7 Harriman Campus Road,Albany,NY,118,104.390328,1.716666667
EINE Inc,1501 Main S," Ste 48""",Tewksbury,60,83.263714,1.616666667
Seacoast Career School-Manchester Campus,670 North Commercial St,Manchester,NH,648,106.875812,1.95
Bryant & Stratton College-Albany,1259 Central Ave,Albany,NY,1136,103.768957,1.733333333
Salter School of Nursing and Allied Health,670 N. Commercial St. Suite 403,Manchester,NH,386,106.875812,1.95
Cortiva Institute-Boston,103 Morse Street,Watertown,MA,293,86.99194,1.616666667
New Hampshire Institute of Art,148 Concord St,Manchester,NH,555,106.875812,1.966666667
Mount Ida College,777 Dedham Street,Newton,MA,1462,88.856053,1.716666667
Newport School of Hairdressing-Main Campus,226 Main St,Pawtucket,RI,67,90.720166,1.766666667
Hebrew College,160 Herrick Road,Newton Centre,MA,9,88.234682,1.683333333
Center for Natural Wellness School of Massage Therapy,3 Cerone Commercial Dr,Albany,NY,263,105.63307,1.816666667
Andover Newton Theological School,210 Herrick Rd,Newton Centre,MA,0,88.234682,1.7
Manchester Community College,1066 Front St,Manchester,NH,4430,108.739925,1.983333333
SUNY at Albany,1400 Washington Avenue,Albany,NY,14601,104.390328,1.75
Sanford-Brown Institute-Cranston,85 Garfield Avenue,Cranston,RI,768,91.341537,1.783333333
Empire Beauty School-Providence,151 Broadway,Providence,RI,252,88.856053,1.7
Universal Technical Institute of Massachusetts Inc,One Upland Roa," Building 200""",Norwood,1573,95.069763,1.816666667
Johnson & Wales University-Providence,8 Abbott Park Place,Providence,RI,10396,89.477424,1.716666667
Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,10354,88.856053,1.683333333
Johnson & Wales University-Online,8 Abbott Park Pl,Providence,RI,170,89.477424,1.733333333
Quinnipiac University,Mt Carmel Ave,Hamden,CT,6623,81.399601,1.45
Rhode Island School of Design,2 College St,Providence,RI,2059,89.477424,1.716666667
Brown University,One Prospect Street,Providence,RI,6936,88.856053,1.733333333
ITT Technical Institute-Albany,13 Airline Dr,Albany,NY,564,111.225409,1.85
ITT Technical Institute-Norwood,333 Providence Highwa," Rte 1""",Norwood,807,96.312505,1.833333333
FINE Mortuary College,150 Kerry Place,Norwood,MA,95,96.312505,1.833333333
Saint John's Seminary,127 Lake Street,Brighton,MA,40,88.234682,1.7
Paul Mitchell the School-Rhode Island,30 Chapel View Blvd," Suite 100""",Cranston,268,96.312505,1.816666667
Pine Manor College,400 Heath St,Chestnut Hill,MA,356,89.477424,1.716666667
River Valley Community College,One College Place,Claremont,NH,1820,85.749198,1.516666667
Toni & Guy Hairdressing Academy-Cranston,1400 Oaklawn Ave,Cranston,RI,204,97.555247,1.866666667
InterCoast Career Institute-Salem,19 Keewaydin Dr,Salem,NH,143,93.20565,1.683333333
Albany BOCES-Adult Practical Nursing Program,900  Watervliet Shaker Rd,Albany,NY,206,109.361296,1.85
Aesthetic Science Institute,1202 Troy-Schenectady Road,Latham,NY,126,111.84678,1.866666667
Northhaven Academy,97 Washington Ave,North Haven,CT,239,82.020972,1.383333333
Massachusetts School of Law,500 Federal St Woodland Park,Andover,MA,0,86.99194,1.6
Southern New Hampshire University,2500 North River Road,Manchester,NH,20509,110.604038,2.066666667
MotoRing Technical Training Institute,54 Water Street,East Providence,RI,10,91.962908,1.766666667
Branford Hall Career Institute-Albany Campus,500 New Karner Rd,Albany,NY,593,109.361296,1.833333333
Excelsior College,7 Columbia Cir,Albany,NY,48214,106.875812,1.783333333
Everest Institute-Brighton,1505 Commonwealth Ave,Brighton,MA,633,89.477424,1.733333333
Newbury College,129 Fisher Ave,Brookline,MA,1088,90.098795,1.733333333
Empire Beauty School-Warwick,1276 Bald Hill Road Suite 100,Warwick,RI,164,99.41936,1.883333333
Community College of Rhode Island,400 East Ave,Warwick,RI,24252,98.797989,1.866666667
ITT Technical Institute-Wilmington,200 Ballardvale Stree, Building 1," Suite 200""",696,90.720166,1.65
Catherine Hinds Institute of Esthetics,300 Wildwood Avenue,Woburn,MA,257,93.20565,1.75
Boston Graduate School of Psychoanalysis Inc,1581 Beacon Street,Brookline,MA,0,90.098795,1.766666667
Elizabeth Grady School of Esthetics and Massage Therapy,222 Boston Avenue,Medford,MA,210,88.234682,1.75
Episcopal Divinity School,99 Brattle St,Cambridge,MA,0,91.962908,1.75
Hellenic College-Holy Cross Greek Orthodox School of Theology,50 Goddard Ave,Brookline,MA,91,90.720166,1.766666667
Longy School of Music of Bard College,27 Garden Street,Cambridge,MA,60,88.856053,1.766666667
Empire Beauty School-Hooksett,1328 Hooksett Rd,Hooksett,NH,162,116.817748,2.066666667
Millennium Training Institute,600 West Cummings Par," Suite 2550""",Woburn,334,93.20565,1.75
Tufts University, ,Medford,MA,5656,88.234682,1.766666667
Harvard University,Massachusetts Hall,Cambridge,MA,14666,91.962908,1.75
Lincoln Technical Institute-Hamden,109 Sanford St,Hamden,CT,430,83.885085,1.433333333
Lesley University,29 Everett St,Cambridge,MA,2506,92.584279,1.766666667
The New England Institute of Art,10 Brookline Place West,Brookline,MA,1213,91.341537,1.766666667
Lawrence Memorial Hospital School of Nursing,170 Governors Ave,Medford,MA,337,90.098795,1.8
Cambridge College,1000 Massachusetts Avenue,Cambridge,MA,1607,91.341537,1.733333333
Northeastern University Global Network,360 Huntington Ave,Boston,MA,0,95.691134,1.9
Wheelock College,200 Riverway,Boston,MA,1018,93.20565,1.766666667
New England Institute of Technology,One New England Tech Boulevard,East Greenwich,RI,3927,103.147586,1.916666667
Emmanuel College,400 The Fenway,Boston,MA,2489,93.20565,1.783333333
Connecticut College,270 Mohegan Avenue,New London,CT,2089,100.662102,1.716666667
MCPHS University,179 Longwood Ave,Boston,MA,3939,93.20565,1.783333333
Boston University,One Silber Way,Boston,MA,23831,91.962908,1.75
Curry College,1071 Blue Hill Ave,Milton,MA,3264,98.797989,1.883333333
Simmons College,300 The Fenway,Boston,MA,1920,93.20565,1.766666667
Massachusetts College of Art and Design,621 Huntington Ave,Boston,MA,2776,93.20565,1.766666667
Boston Baptist College,950 Metropolitan Ave,Boston,MA,98,99.41936,1.9
New England School of Photography,537 Commonwealth Ave,Boston,MA,90,92.584279,1.75
Kaplan Career Institute-Boston,540 Commonwealth Ave,Boston,MA,0,92.584279,1.716666667
School of the Museum of Fine Arts-Boston,230 The Fenway,Boston,MA,587,92.584279,1.75
Wentworth Institute of Technology,550 Huntington Ave,Boston,MA,4078,93.827021,1.766666667
Roxbury Community College,1234 Columbus Ave,Roxbury Crossing,MA,3824,93.827021,1.783333333
College of St Mary Magdalen,511 Kearsarge Mtn Rd,Warner,NH,0,96.933876,2.066666667
Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,4572,93.20565,1.766666667
The Boston Conservatory,8 the Fenway,Boston,MA,530,92.584279,1.733333333
Oxford Academy of Hair Design,153 North Street,Seymour,CT,167,93.20565,1.616666667
Northeastern University,360 Huntington Ave,Boston,MA,21832,93.20565,1.75
Berklee College of Music,1140 Boylston St,Boston,MA,5214,91.962908,1.7
New England College of Optometry,424 Beacon St,Boston,MA,0,91.962908,1.716666667
Boston Architectural College,320 Newbury Street,Boston,MA,587,91.962908,1.7
United States Coast Guard Academy,15 Mohegan Avenue,New London,CT,967,101.283473,1.716666667
The New England Conservatory of Music,290 Huntington Ave,Boston,MA,438,92.584279,1.733333333
Bay State School of Technology,225 Turnpike St,Canton,MA,310,98.176618,1.816666667
Lincoln Technical Institute-Somerville,5 Middlesex Ave,Somerville,MA,565,91.962908,1.85
Le Cordon Bleu College of Culinary Arts-Cambridge,215 First St,Cambridge,MA,1022,93.20565,1.766666667
Medical Professional Institute,380-388 Pleasant Street,Malden,MA,409,91.341537,1.883333333
Merrimack College,315 Turnpike St,North Andover,MA,2773,88.856053,1.666666667
Empire Beauty School-Malden,347 Pleasant St,Malden,MA,259,91.962908,1.916666667
Bay State College,122 Commonwealth Avenue,Boston,MA,1464,92.584279,1.733333333
Sanford-Brown College-Boston,126 Newbury Street,Boston,MA,271,92.584279,1.75
Blue Hills Regional Technical School,800 Randolph St,Canton,MA,46,98.176618,1.833333333
Motoring Technical Training Institute,1241 Fall River Avenue,Seekonk,MA,484,96.312505,1.866666667
The Salter School-Malden Campus,2 Florence St,Malden,MA,663,91.341537,1.9
Lyme Academy College of Fine Arts,84 Lyme St,Old Lyme,CT,80,100.662102,1.666666667
Fisher College,118 Beacon Street,Boston,MA,3090,93.20565,1.75
Kaplan Career Institute-Charlestown,570 Rutherford Ave,Charlestown,MA,329,95.069763,1.816666667
Emerson College,120 Boylston Street,Boston,MA,3999,93.20565,1.75
Hult International Business School,1 Education Street,Cambridge,MA,0,93.827021,1.8
Bunker Hill Community College,250 New Rutherford Ave,Boston,MA,19365,95.691134,1.85
Benjamin Franklin Institute of Technology,41 Berkeley St,Boston,MA,757,93.20565,1.733333333
Modern Welding School,1842 State St,Schenectady,NY,107,114.953635,1.9
Massachusetts General Hospital Dietetic Internship,Fruit St,Boston,MA,0,95.691134,1.816666667
Bard College,Annandale Road,Annandale-On-Hudson,NY,2948,118.681861,2.1
New England Hair Academy,492-500 Main St,Malden,MA,344,91.962908,1.916666667
New England School of Law,154 Stuart St,Boston,MA,0,93.20565,1.75
Paier College of Art Inc,20 Gorham Ave,Hamden,CT,205,86.370569,1.466666667
Wheaton College,26 E Main St,Norton,MA,1639,98.797989,1.8
Urban College of Boston,178 Tremont St 7th Fl,Boston,MA,945,93.20565,1.75
Empire Beauty School-Boston,30 West Street,Boston,MA,417,93.827021,1.766666667
Suffolk University,8 Ashburton Place,Boston,MA,6472,93.827021,1.8
University of Massachusetts-Central Office,225 Franklin Stree," 12th Floor""",Boston,0,93.827021,1.766666667
Ridley-Lowell Business & Technical Institute-New London,470 Bank Street,New London,CT,494,97.555247,1.733333333
Granite State College,25 Hall Street,Concord,NH,2713,96.312505,1.966666667
MGH Institute of Health Professions,36 1st Avenue,Boston,MA,794,95.691134,1.85
Eli Whitney Technical High School,71 Jones Rd,Hamden,CT,56,86.99194,1.5
New England College of Business and Finance,10 High St Ste 204,Boston,MA,1049,93.827021,1.75
University of New Hampshire-School of Law,2 White St,Concord,NH,0,95.069763,1.983333333
North Bennet Street School,150 North Street,Boston,MA,176,95.069763,1.783333333
Marinello Schools of Beauty-Niantic,63 Pennsylvania Avenue,Niantic,CT,518,100.662102,1.716666667
New England Tractor Trailer Training School of Massachusetts,1600 Osgood Street,North Andover,MA,509,92.584279,1.733333333
Albertus Magnus College,700 Prospect St,New Haven,CT,1774,87.613311,1.533333333
Laboure College,303 Adams Street,Milton,MA,948,100.662102,1.916666667
Belanger School of Nursing,650 McClellan St,Schenectady,NY,145,116.196377,1.916666667
Unification Theological Seminary,30 Seminary Drive,Barrytown,NY,0,119.924603,2.133333333
Colby-Sawyer College,541 Main St,New London,NH,1469,105.63307,2.083333333
European Academy of Cosmetology and Hairdressing,1575 Boston Post Rd Bldg C,Guilford,CT,32,102.526215,1.683333333
Southern Connecticut State University,501 Crescent Street,New Haven,CT,9217,88.234682,1.566666667
Everest Institute-Chelsea,70 Everett Ave - 4th Floor,Chelsea,MA,676,98.176618,1.866666667
Connecticut Center for Massage Therapy-Groton,1154 Poquonnock Rd,Groton,CT,229,100.662102,1.766666667
University of Massachusetts-Boston,100 Morrissey Boulevard,Boston,MA,15741,96.933876,1.85
NHTI-Concord's Community College,31 College Drive,Concord,NH,5814,98.797989,2.033333333
Mitchell College,437 Pequot Avenue,New London,CT,956,98.797989,1.816666667
Union Graduate College,80 Nott Terrace,Schenectady,NY,0,116.817748,1.966666667
Union College,807 Union St,Schenectady,NY,2295,118.06049,1.966666667
Yale University,Woodbridge Hall,New Haven,CT,6380,90.098795,1.533333333
University of Phoenix-Boston Campus,19 Granite Street,Braintree,MA,310,101.283473,1.866666667
Gateway Community College,20 Church Street,New Haven,CT,11176,90.098795,1.516666667
Schenectady County Community College,78 Washington Avenue,Schenectady,NY,8880,116.817748,1.916666667
Stonehill College,320 Washington Street,Easton,MA,2606,105.011699,1.983333333
Yale-New Haven Hospital Dietetic Internship,20 York St EPB 806,New Haven,CT,0,90.720166,1.516666667
University of Connecticut-Avery Point,1084 Shennecossett Rd,Groton,CT,891,102.526215,1.85
Eastern Nazarene College,23 E Elm Ave,Quincy,MA,1521,101.283473,1.983333333
Lincoln Technical Institute-Brockton,365 Westgate Drive,Brockton,MA,601,106.254441,1.933333333
